0;1;2;3;4;5;6;7
"id";"nom";"code";"type";"niveauGravite";"geometry";"date_today";"date_today"
"230";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.855338,43.374007],[1.855338,43.374007]]]}";"21/05/2024";"21/05/2024"
"232";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.102077,43.33851],[2.102077,43.33851]]]}";"21/05/2024";"21/05/2024"
"233";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.897231,43.300489],[2.897231,43.300489]]]}";"21/05/2024";"21/05/2024"
"236";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.706861,43.027029],[2.706861,43.027029]]]}";"21/05/2024";"21/05/2024"
"237";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.717651,43.165108],[2.717651,43.165108]]]}";"21/05/2024";"21/05/2024"
"239";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.046345,42.844402],[2.046345,42.844402]]]}";"21/05/2024";"21/05/2024"
"241";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.452079,43.020422],[2.452079,43.020422]]]}";"21/05/2024";"21/05/2024"
"243";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.034267,42.809624],[2.034267,42.809624]]]}";"21/05/2024";"21/05/2024"
"244";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.466144,43.030859],[2.466144,43.030859]]]}";"21/05/2024";"21/05/2024"
"246";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.430881,43.066967],[2.430881,43.066967]]]}";"21/05/2024";"21/05/2024"
"247";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.344874,43.171234],[2.344874,43.171234]]]}";"21/05/2024";"21/05/2024"
"248";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.059822,42.770402],[2.059822,42.770402]]]}";"21/05/2024";"21/05/2024"
"251";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.566793,43.022446],[2.566793,43.022446]]]}";"21/05/2024";"21/05/2024"
"252";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.190504,43.226602],[2.190504,43.226602]]]}";"21/05/2024";"21/05/2024"
"255";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.481077,43.095511],[2.481077,43.095511]]]}";"21/05/2024";"21/05/2024"
"256";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.965924,43.415183],[1.965924,43.415183]]]}";"21/05/2024";"21/05/2024"
"259";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.882765,43.097114],[2.882765,43.097114]]]}";"21/05/2024";"21/05/2024"
"260";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.406997,43.419198],[2.406997,43.419198]]]}";"21/05/2024";"21/05/2024"
"262";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.052835,43.430507],[2.052835,43.430507]]]}";"21/05/2024";"21/05/2024"
